-1.421501636505126953e-01,-3.377755284309387207e-01,2.541768550872802734e-01,6.940651535987854004e-01,6.074301004409790039e-01,-5.229433998465538025e-02
-4.486418366432189941e-01,-2.149257063865661621e-01,-2.377192080020904541e-01,1.022179126739501953e-01,3.741994500160217285e-01,2.997957468032836914e-01
4.108520150184631348e-01,3.441631421446800232e-02,3.445311188697814941e-01,-1.497884243726730347e-01,1.991917006671428680e-02,2.530592978000640869e-01
1.113971397280693054e-01,5.063754320144653320e-01,4.789412915706634521e-01,3.451280295848846436e-01,-4.061613082885742188e-01,2.185602933168411255e-01
2.745779156684875488e-01,4.302765727043151855e-01,5.161799788475036621e-01,4.462272524833679199e-01,-4.258512556552886963e-01,3.904879689216613770e-01
5.102569460868835449e-01,-3.392753005027770996e-01,4.029405117034912109e-02,-1.790336966514587402e-01,-5.769073367118835449e-01,2.681192755699157715e-01
2.564735412597656250e-01,-2.638145685195922852e-01,-6.826171278953552246e-01,-1.478112861514091492e-02,-2.099135518074035645e-02,1.334688812494277954e-01
3.729596138000488281e-01,-2.292024493217468262e-01,4.679144620895385742e-01,-4.509119093418121338e-01,2.193060070276260376e-01,5.251451730728149414e-01
3.453792929649353027e-01,-4.506698250770568848e-01,2.850572466850280762e-01,-2.499202191829681396e-01,6.424582004547119141e-02,-2.469118833541870117e-01
-1.634796261787414551e-01,4.129855632781982422e-01,4.211328029632568359e-01,-2.339579723775386810e-02,6.676869392395019531e-01,-2.422758191823959351e-01
